received_date,page_views,new_page_views,unique_visitors,unique_pages
2023-04-01,9748,43,4528,3908
2023-04-02,10247,11,4633,4064
2023-04-03,35597,117,16288,8119
2023-04-04,20674,76,9737,6293
2023-04-05,35577,118,16262,8193
2023-04-06,33884,100,15385,7907
2023-04-07,22555,30,10474,6519
2023-04-08,8644,24,4228,3620
2023-04-09,9098,19,4277,3774
2023-04-10,25176,60,11636,6857
2023-04-11,36998,138,16784,8420
